YearMonth,Actual,Best_ses,Simple_exponential_smoothing,Sarima_3_1_2x3_1_2_12,Tes_auto,Simple_average,Arima_2_1_1,MovingAverage_2,Arima_1_1_2,Tes_optimized,Double_exponential_smoothing,Regression,MovingAverage_9,Naive model,MovingAverage_4,Arima_auto,MovingAverage_6,Best_des,Sarima
1980-01-01,1686.0,1502.1999999999998,1686.0,0.0,1661.5423197521868,2403.780303030303,1711.1739741161612,,1711.1739741161612,1711.1739741161612,1697.783611089216,2021.741171109592,,6047,,,,2101.3237149643032,0.0
1980-02-01,1591.0,1505.8759999999995,1686.0,1261.374008250933,1588.9187214821875,2403.780303030303,1598.8694136679292,1638.5,1598.8694136679292,1598.8694136679292,1717.214589283765,2027.573829612198,,6047,,,,2068.382923216549,1156.484592756454
1980-03-01,2304.0,1507.5784799999997,1682.2441860465117,1818.94450203332,2055.894257751344,2403.780303030303,1905.036721393624,1947.5,1905.036721393624,1905.036721393624,1662.50614231664,2033.4064881148045,,6047,,,,2024.4623814114057,1645.6194711757364
1980-04-01,1712.0,1523.5069103999997,1706.825229853975,1830.052096509545,1862.9786074293984,2403.780303030303,2075.527367047428,2008.0,2075.527367047428,2075.527367047428,2105.193276930025,2039.2391466174104,,6047,1823.25,,,2059.029269972662,1817.654269696158
1980-05-01,1471.0,1527.2767721919995,1707.0298137899806,2171.6521932979017,1490.920619214722,2403.780303030303,1549.9623348172156,1591.5,1549.9623348172156,1549.9623348172156,1877.510284566112,2045.071805120017,,6047,1769.5,,,2027.469176978066,2021.6558841378733
1980-06-01,1377.0,1526.1512367481596,1697.6984025471208,1376.315294767273,1484.982417189345,2403.780303030303,1482.8875518128602,1424.0,1482.8875518128602,1482.8875518128602,1641.199250158072,2050.904463622623,,6047,1716.0,,1690.1666666666667,1969.4004015131493,1633.963206588601
1980-07-01,1966.0,1523.1682120131964,1685.0196284929325,1517.3086504025052,1958.201530740416,2403.780303030303,1824.4774442054204,1671.5,1824.4774442054204,1824.4774442054204,1497.0910305091377,2056.7371221252297,,6047,1631.5,,1736.8333333333333,1901.8144995795928,1486.4209500293412
1980-08-01,2453.0,1532.0248477729324,1696.128154808328,1631.5351934144765,2484.1846702992616,2403.780303030303,2337.0945237708875,2209.5,2337.0945237708875,2337.0945237708875,1827.9610278047785,2062.569780627836,,6047,1816.75,,1880.5,1900.529042843596,1617.2260102968737
1980-09-01,1984.0,1550.4443508174736,1726.0509951996264,2339.211501384593,2032.7341977580368,2403.780303030303,2086.7680516546543,2218.5,2086.7680516546543,2086.7680516546543,2259.987100436174,2068.402439130442,1838.2222222222224,6047,1945.0,,1827.1666666666667,1953.5968413527623,2100.8979155901893
1980-10-01,2596.0,1559.1154638011242,1736.2489791103387,2195.8137781139585,2595.45103134022,2403.780303030303,2531.7625245150066,2290.0,2531.7625245150066,2531.7625245150066,2108.241574375121,2074.235097633049,1939.3333333333333,6047,2249.75,,1974.5,1954.7618915974847,2204.116012639516
1980-11-01,4087.0,1579.8531545251017,1770.2391357501624,2213.3250551678566,4017.747929615826,2403.780303030303,3829.1141322679314,3341.5,3829.1141322679314,3829.1141322679314,2451.324067486453,2080.0677561356547,2216.6666666666665,6047,2780.0,,2410.5,2023.4228179017605,2220.558946722074
1980-12-01,5179.0,1629.9960914345995,1861.8320071274816,3522.095050451629,5040.068255287238,2403.780303030303,5041.743649637538,4633.0,5041.743649637538,5041.743649637538,3538.138244417318,2085.900414638261,2536.1111111111118,6047,3461.5,,3044.1666666666665,2254.9534233965906,3108.159651107071
1981-01-01,1530.0,1700.9761696059074,1992.975858008488,5482.891380368132,1687.2773948159358,2403.780303030303,1929.6710212302455,3354.5,1929.6710212302455,1929.6710212302455,4628.312297733078,2091.7330731408674,2515.8888888888887,6047,3348.0,,2971.5,2601.7714341079723,5092.771655887712
1981-02-01,1523.0,1697.5566462137892,1974.6721612965243,4243.429600787675,1589.1062763889668,2403.780303030303,1645.6025510011534,1526.5,1645.6025510011534,1645.6025510011534,2647.992280320971,2097.5657316434736,2521.6666666666665,6047,3079.75,,2816.5,2538.289929407136,3429.6799329597043
1981-03-01,1633.0,1694.0655132895135,1956.8153549196848,1679.17408282387,2167.0834797157454,2403.780303030303,2048.489185966864,1578.0,2048.489185966864,2048.489185966864,1946.179307585403,2103.39839014608,2550.1111111111118,6047,2466.25,,2758.0,2470.303675882311,2355.1003093405816
1981-04-01,1976.0,1692.8442030237234,1944.0133525158835,1989.810425374304,1720.704705642737,2403.780303030303,1375.9422903834457,1804.5,1375.9422903834457,1375.9422903834457,1770.3370823433827,2109.231048648686,2551.222222222222,6047,1665.5,,2654.6666666666665,2411.7430109511465,1591.831696971666
1981-05-01,1170.0,1698.507318963249,1945.27794090479,1179.9086668032796,1444.166926635009,2403.780303030303,1459.718520187826,1573.0,1459.718520187826,1459.718520187826,1930.6508957541864,2115.0637071512924,2408.6666666666665,6047,1575.5,,2168.5,2388.9809824035865,1304.9312696151546
1981-06-01,1480.0,1687.937172583984,1914.627417659717,1663.1476530186917,1375.586693082811,2403.780303030303,1258.604840704833,1325.0,1258.604840704833,1258.604840704833,1464.8934146396489,2120.8963656538986,2352.6666666666665,6047,1564.75,,1552.0,2275.7053468867466,1437.3772368302407
1981-07-01,1781.0,1683.7784291323042,1897.444473240612,1560.3639222597835,1921.1449653752288,2403.780303030303,1894.001821365512,1630.5,1894.001821365512,1894.001821365512,1501.7464557992262,2126.7290241565047,2262.1111111111118,6047,1601.75,,1593.8333333333333,2196.8002214527232,1780.149609797467
1981-08-01,2472.0,1685.722860549658,1892.8408545310992,2298.4551860413694,2416.4877768957185,2403.780303030303,2262.132913621862,2126.5,2262.132913621862,2262.132913621862,1709.7393752995993,2132.5616826591117,2082.6666666666665,6047,1725.75,,1752.0,2151.727606347575,2408.676556882456
1981-09-01,1981.0,1701.4484033386648,1915.7378440031252,1941.1117143865515,1963.847382582496,2403.780303030303,1978.435110046104,2226.5,1978.435110046104,1978.435110046104,2230.670870194994,2138.3943411617174,1727.3333333333333,6047,1928.5,,1810.0,2183.464976689466,1973.71245093308
1981-10-01,2273.0,1707.0394352718913,1918.317975751839,2561.461954325682,2555.3399419092075,2403.780303030303,2565.815480427342,2127.0,2565.815480427342,2565.815480427342,2095.975536427029,2144.226999664324,1809.888888888889,6047,2126.75,,1859.5,2160.903960230273,2696.6192318948297
1981-11-01,3857.0,1718.3586465664534,1932.340288338394,3564.3449364489325,3986.941530082291,2403.780303030303,3731.459239596831,3065.0,3731.459239596831,3731.459239596831,2237.734596948535,2150.05965816693,2069.222222222222,6047,2645.75,,2307.333333333333,2170.920005814697,3762.256832759793
1981-12-01,4551.0,1761.1314736351244,2008.4314862412944,4028.911604707955,5025.91063146773,2403.780303030303,4779.171902728712,4204.0,4779.171902728712,4779.171902728712,3313.916450009468,2155.8923166695363,2393.4444444444443,6047,3165.5,,2819.1666666666665,2355.195246782532,4766.441083274459
1982-01-01,1510.0,1816.928844162422,2108.9516367852434,2545.323268089812,1482.257330586105,2403.780303030303,1164.3074675496405,3030.5,1164.3074675496405,1164.3074675496405,4142.484035149108,2161.7249751721424,2341.6666666666665,6047,3047.75,,2774.0,2612.401011185757,1310.3724523259634
1982-02-01,1329.0,1810.7902672791736,2085.272153470478,2228.9394693169243,1442.5103538510991,2403.780303030303,1370.2459637154689,1419.5,1370.2459637154689,1370.2459637154689,2463.972497896284,2167.557633674749,2359.333333333333,6047,2811.75,,2583.5,2528.7621890368023,1316.4197991625667
1982-03-01,1518.0,1801.15446193359,2055.3730218216447,1663.0955632554878,1794.7835958087237,2403.780303030303,1715.3575278935712,1423.5,1715.3575278935712,1715.3575278935712,1755.69337756942,2173.390292177355,2363.555555555556,6047,2227.0,,2506.333333333333,2423.389627212375,1458.4328647843518
1982-04-01,1790.0,1795.491372694918,2034.128041889161,1766.7497397940413,1743.7001595647937,2403.780303030303,1609.5162578469942,1654.0,1609.5162578469942,1609.5162578469942,1628.7582188182969,2179.2229506799613,2364.555555555556,6047,1536.75,,2425.833333333333,2338.4004252982672,1716.93982032559
1982-05-01,1537.0,1795.3815452410197,2024.4764681400547,1079.1022973708616,1199.0308067694164,2403.780303030303,1116.079955145144,1663.5,1116.079955145144,1116.079955145144,1760.2917353615917,2185.0556091825674,2260.6666666666665,6047,1543.5,,2039.1666666666667,2283.6261393225877,1002.222821699738
1982-06-01,1449.0,1790.2139143361992,2005.204142655448,1527.4529833908073,1360.2140443346414,2403.780303030303,1569.811757880387,1493.0,1569.811757880387,1569.811757880387,1642.6873495490445,2190.888267685174,2201.555555555556,6047,1573.5,,1522.1666666666667,2201.56302055125,1466.3305558802456
1982-07-01,1954.0,1783.3896360494753,1983.214676550465,1938.1408038118109,1788.5745243967008,2403.780303030303,1944.0961780163825,1701.5,1944.0961780163825,1944.0961780163825,1544.2635403691208,2196.72092618778,2166.1111111111118,6047,1682.5,,1596.1666666666667,2111.380583451533,1737.484737333835
1982-08-01,1897.0,1786.8018433284856,1982.0596777100975,2315.115088302433,2401.775950753017,2403.780303030303,2565.0131918744914,1925.5,2565.0131918744914,2565.0131918744914,1836.7958782685944,2202.5535846903863,1948.3333333333333,6047,1709.25,,1690.8333333333333,2079.142584227273,2517.454147119174
1982-09-01,1706.0,1789.005806461916,1978.6968532424887,1991.294503824696,1884.888801061726,2403.780303030303,1689.9578656945616,1801.5,1689.9578656945616,1689.9578656945616,1902.8674533908304,2208.386243192993,1632.2222222222222,6047,1751.5,,1722.1666666666667,2042.6069590831655,1804.530424404723
1982-10-01,2514.0,1787.3456903326771,1967.915814858484,1855.4097950885173,2318.313241585295,2403.780303030303,2098.449791843647,2110.0,2098.449791843647,2098.449791843647,1802.3832662039692,2214.218901695599,1743.7777777777778,6047,2017.75,,1842.8333333333333,1987.258826862638,2273.9434095036595
1982-11-01,3593.0,1801.878776526024,1989.5051896198925,3697.6005360891536,3861.4490677046497,2403.780303030303,3824.398826669313,3053.5,3824.398826669313,3824.398826669313,2290.5027636941068,2220.051560198205,1995.3333333333333,6047,2427.5,,2185.5,2023.5129195955365,3826.57864167898
1982-12-01,4524.0,1837.701200995503,2052.899170495385,4263.623758628217,4725.525888929829,2403.780303030303,4537.395627983455,4058.5,4537.395627983455,4537.395627983455,3161.451644332953,2225.884218700812,2329.333333333333,6047,3084.25,,2698.0,2179.73647385919,4475.501896123566
1983-01-01,1609.0,1891.427176975593,2150.5938544525443,2118.6928115631035,1442.5915023851326,2403.780303030303,1276.9205424316815,3066.5,1276.9205424316815,1276.9205424316815,4071.307432349469,2231.716877203418,2309.222222222222,6047,3060.0,,2640.5,2436.880307957886,1444.2828756688468
1983-02-01,1638.0,1885.7786334360808,2129.1820043927924,2182.384764189703,1347.295784073399,2403.780303030303,1336.690579640894,1623.5,1336.690579640894,1336.690579640894,2503.052712844731,2237.549535706024,2320.4444444444443,6047,2841.0,,2597.333333333333,2368.5309555671333,1252.979075696906
1983-03-01,2030.0,1880.8230607673595,2109.76318096331,1875.6861427765443,1655.4161511023603,2403.780303030303,1857.431994746965,1834.0,1857.431994746965,1857.431994746965,1969.653664498568,2243.38219420863,2385.0,6047,2450.25,,2651.333333333333,2302.6112288597847,1635.739589810794
1983-04-01,1375.0,1883.806599552012,2106.609752878714,2177.068596232807,1811.0179471214444,2403.780303030303,2209.975613826235,1702.5,2209.975613826235,2209.975613826235,2035.8173794183149,2249.2148527112367,2320.6666666666665,6047,1663.0,,2461.5,2279.757362534573,1862.844108249359
1983-05-01,1320.0,1873.630467560972,2077.685646369556,1452.0544510613436,1364.9357453968198,2403.780303030303,1274.950865352531,1347.5,1274.950865352531,1274.950865352531,1634.741679669189,2255.047511213843,2256.555555555556,6047,1590.75,,2082.6666666666665,2184.641309216537,1279.93649487035
1983-06-01,1245.0,1862.5578582097528,2047.730632443317,1436.2449814955778,1376.532448991226,2403.780303030303,1237.640566495902,1282.5,1237.640566495902,1237.640566495902,1457.887199092045,2260.880169716449,2205.333333333333,6047,1492.5,,1536.1666666666667,2084.89044813814,1446.1185575527636
1983-07-01,1600.0,1850.2067010455576,2015.9947702304416,1886.475578468808,1823.103624218248,2403.780303030303,1661.108567583333,1422.5,1661.108567583333,1661.108567583333,1347.0238754487498,2266.712828219056,2103.777777777778,6047,1385.0,,1534.6666666666667,1979.2157686862,1768.2383036722315
1983-08-01,2298.0,1845.2025670246464,1999.548465360866,2071.7414289294197,2086.706696386382,2403.780303030303,1897.512475993272,1949.0,1897.512475993272,1897.512475993272,1537.9917479007984,2272.5454867216617,1959.888888888889,6047,1615.75,,1644.6666666666667,1915.8163994925928,2042.8672067658777
1983-09-01,2191.0,1854.2585156841533,2011.3477120791567,1849.746675053104,1783.1532736750703,2403.780303030303,1912.764640486656,2244.5,1912.764640486656,1912.764640486656,2057.463938571605,2278.378145224268,1700.6666666666667,6047,1833.5,,1671.5,1932.37880322342,1791.392711355055
1983-10-01,2511.0,1860.9933453704705,2018.4502443923063,2538.4897313048514,2442.354721635451,2403.780303030303,2733.920394821978,2351.0,2733.920394821978,2733.920394821978,2171.0470174920697,2284.2108037268745,1800.888888888889,6047,2150.0,,1860.8333333333333,1939.17117854893,2513.23306353436
1983-11-01,3440.0,1873.993478463061,2037.9231417070291,3828.0178803734616,3755.059688759574,2403.780303030303,3907.84790982338,2975.5,3907.84790982338,3907.84790982338,2418.366887917201,2290.0434622294806,2001.111111111111,6047,2610.0,,2214.1666666666665,1983.0026045564005,3758.0622742866008
1983-12-01,4923.0,1905.3136088938,2093.354087267449,4525.416858191481,4647.023787796825,2403.780303030303,4580.347482156889,4181.5,4580.347482156889,4580.347482156889,3107.344898019268,2295.8761207320867,2322.555555555556,6047,3266.25,,2827.1666666666665,2129.9208619175597,4606.994802122315
1984-01-01,1609.0,1965.667336715924,2205.223809398736,1885.1424864936064,1577.7377993589214,2403.780303030303,1680.0197587351508,3266.0,1680.0197587351508,1680.0197587351508,4310.766940896072,2301.708779234693,2348.555555555556,6047,3120.75,,2828.6666666666665,2438.378084923427,1630.3699436918937
1984-02-01,1435.0,1958.5339899816051,2181.6521704225065,1813.4413873505869,1530.242959104978,2403.780303030303,1509.400545459466,1522.0,1509.400545459466,1509.400545459466,2587.3672545890854,2307.5414377372995,2361.333333333333,6047,2851.75,,2684.833333333333,2376.2958047794737,1420.7275715748524
1984-03-01,2061.0,1948.0633101819733,2152.133363684872,2022.82330065051,1846.3880206397807,2403.780303030303,1717.9022892915589,1748.0,1717.9022892915589,1717.9022892915589,1867.818133058185,2313.3740962399056,2452.0,6047,2507.0,,2663.1666666666665,2293.6087946021207,1911.787395225767
1984-04-01,1789.0,1950.3220439783336,2148.5304167484937,1791.7460615335326,1604.6375003217397,2403.780303030303,1705.384646962871,1925.0,1705.384646962871,1705.384646962871,2020.0455179510384,2319.206754742512,2473.0,6047,1723.5,,2542.833333333333,2279.464397496481,1567.4960641475504
1984-05-01,1567.0,1947.095603098767,2134.3164235282043,1466.9847499141335,1394.9221386196832,2403.780303030303,1672.1452598358828,1678.0,1672.1452598358828,1672.1452598358828,1897.4174838827455,2325.0394132451183,2391.777777777778,6047,1713.0,,2230.6666666666665,2234.629796126442,1374.6895928939712
1984-06-01,1404.0,1939.4936910367917,2111.8876346910424,1560.5745941274483,1383.317042024293,2403.780303030303,1612.6127026332788,1485.5,1612.6127026332788,1612.6127026332788,1710.4067053198924,2330.8720717477245,2304.333333333333,6047,1705.25,,1644.1666666666667,2165.402356932142,1366.3529915605486
1984-07-01,1597.0,1928.7838172160557,2083.901379366048,1831.506220403458,1799.0011260945248,2403.780303030303,1936.262434149492,1500.5,1936.262434149492,1936.262434149492,1538.952425079614,2336.7047302503306,2202.777777777778,6047,1589.25,,1642.1666666666667,2079.1836380879504,1779.6878967635755
1984-08-01,3159.0,1922.1481408717343,2064.6517899492505,2483.928407009342,2270.229711654433,2403.780303030303,2212.0597648598946,2378.0,2212.0597648598946,2212.0597648598946,1603.6267811670557,2342.537388752937,2171.555555555556,6047,1931.75,,1929.5,2016.0649547472983,2300.872749098955
1984-09-01,1759.0,1946.8851780543,2107.916719183815,2456.270702493295,2115.5369252879505,2403.780303030303,2527.437244740139,2459.0,2527.437244740139,2527.437244740139,2638.41311454422,2348.370047255544,1820.0,6047,1979.75,,1879.1666666666667,2126.887490193239,2356.7209724397617
1984-10-01,2504.0,1943.1274744932136,2094.122337262594,2489.3299556766488,2551.1217964735506,2403.780303030303,2543.5933301940936,2131.5,2543.5933301940936,2543.5933301940936,2095.7100128386523,2354.202705758149,1919.4444444444443,6047,2254.75,,1998.3333333333333,2082.948897192653,2380.132628228273
1984-11-01,4273.0,1954.344925003349,2110.326802998724,3850.368576701861,3672.4445625944986,2403.780303030303,3657.5113661825626,3388.5,3657.5113661825626,3657.5113661825626,2387.305186352264,2360.035364260756,2234.777777777778,6047,2923.75,,2449.333333333333,2122.1146745201986,3935.517111283688
1984-12-01,5274.0,2000.7180265032823,2195.8278363685417,5232.63672514023,4919.820747111169,2403.780303030303,5304.677857622884,4773.5,5304.677857622884,5304.677857622884,3636.105710156256,2365.868022763362,2591.777777777778,6047,3452.5,,3094.333333333333,2355.7727273697883,5043.010723304701
1985-01-01,1771.0,2066.1836659732166,2317.523014930716,1691.1564423389582,1740.9776532657825,2403.780303030303,2105.014955736752,3522.5,2105.014955736752,2105.014955736752,4724.357152938194,2371.7006812659683,2589.777777777778,6047,3455.5,,3123.333333333333,2695.3472476607208,1776.8226853527317
1985-02-01,1682.0,2060.2799926537523,2295.916291084617,1562.5842180343634,1633.4213976004123,2403.780303030303,1814.8954696202088,1726.5,1814.8954696202088,1814.8954696202088,2837.9530600325475,2377.5333397685745,2602.555555555556,6047,3250.0,,2877.1666666666665,2641.420843445953,1523.674610490364
1985-03-01,1846.0,2052.714392800677,2271.645181902202,2015.333037402744,2108.25263335742,2403.780303030303,2165.7244555646507,1764.0,2165.7244555646507,2165.7244555646507,2116.080707865028,2383.365998271181,2651.6666666666665,6047,2643.25,,2891.6666666666665,2574.3928712182023,2160.8777891373124
