YearMonth,Value,Type,Model
1980-01-01,112.0,Train,Actual
1980-02-01,118.0,Train,Actual
1980-03-01,129.0,Train,Actual
1980-04-01,99.0,Train,Actual
1980-05-01,116.0,Train,Actual
1980-06-01,168.0,Train,Actual
1980-07-01,118.0,Train,Actual
1980-08-01,129.0,Train,Actual
1980-09-01,205.0,Train,Actual
1980-10-01,147.0,Train,Actual
1980-11-01,150.0,Train,Actual
1980-12-01,267.0,Train,Actual
1981-01-01,126.0,Train,Actual
1981-02-01,129.0,Train,Actual
1981-03-01,124.0,Train,Actual
1981-04-01,97.0,Train,Actual
1981-05-01,102.0,Train,Actual
1981-06-01,127.0,Train,Actual
1981-07-01,222.0,Train,Actual
1981-08-01,214.0,Train,Actual
1981-09-01,118.0,Train,Actual
1981-10-01,141.0,Train,Actual
1981-11-01,154.0,Train,Actual
1981-12-01,226.0,Train,Actual
1982-01-01,89.0,Train,Actual
1982-02-01,77.0,Train,Actual
1982-03-01,82.0,Train,Actual
1982-04-01,97.0,Train,Actual
1982-05-01,127.0,Train,Actual
1982-06-01,121.0,Train,Actual
1982-07-01,117.0,Train,Actual
1982-08-01,117.0,Train,Actual
1982-09-01,106.0,Train,Actual
1982-10-01,112.0,Train,Actual
1982-11-01,134.0,Train,Actual
1982-12-01,169.0,Train,Actual
1983-01-01,75.0,Train,Actual
1983-02-01,108.0,Train,Actual
1983-03-01,115.0,Train,Actual
1983-04-01,85.0,Train,Actual
1983-05-01,101.0,Train,Actual
1983-06-01,108.0,Train,Actual
1983-07-01,109.0,Train,Actual
1983-08-01,124.0,Train,Actual
1983-09-01,105.0,Train,Actual
1983-10-01,95.0,Train,Actual
1983-11-01,135.0,Train,Actual
1983-12-01,164.0,Train,Actual
1984-01-01,88.0,Train,Actual
1984-02-01,85.0,Train,Actual
1984-03-01,112.0,Train,Actual
1984-04-01,87.0,Train,Actual
1984-05-01,91.0,Train,Actual
1984-06-01,87.0,Train,Actual
1984-07-01,87.0,Train,Actual
1984-08-01,142.0,Train,Actual
1984-09-01,95.0,Train,Actual
1984-10-01,108.0,Train,Actual
1984-11-01,139.0,Train,Actual
1984-12-01,159.0,Train,Actual
1985-01-01,61.0,Train,Actual
1985-02-01,82.0,Train,Actual
1985-03-01,124.0,Train,Actual
1985-04-01,93.0,Train,Actual
1985-05-01,108.0,Train,Actual
1985-06-01,75.0,Train,Actual
1985-07-01,87.0,Train,Actual
1985-08-01,103.0,Train,Actual
1985-09-01,90.0,Train,Actual
1985-10-01,108.0,Train,Actual
1985-11-01,123.0,Train,Actual
1985-12-01,129.0,Train,Actual
1986-01-01,57.0,Train,Actual
1986-02-01,65.0,Train,Actual
1986-03-01,67.0,Train,Actual
1986-04-01,71.0,Train,Actual
1986-05-01,76.0,Train,Actual
1986-06-01,67.0,Train,Actual
1986-07-01,110.0,Train,Actual
