YearMonth,Value,Type,Model
1980-01-01,,Full,MovingAverage_2
1980-02-01,115.0,Full,MovingAverage_2
1980-03-01,123.5,Full,MovingAverage_2
1980-04-01,114.0,Full,MovingAverage_2
1980-05-01,107.5,Full,MovingAverage_2
1980-06-01,142.0,Full,MovingAverage_2
1980-07-01,143.0,Full,MovingAverage_2
1980-08-01,123.5,Full,MovingAverage_2
1980-09-01,167.0,Full,MovingAverage_2
1980-10-01,176.0,Full,MovingAverage_2
1980-11-01,148.5,Full,MovingAverage_2
1980-12-01,208.5,Full,MovingAverage_2
1981-01-01,196.5,Full,MovingAverage_2
1981-02-01,127.5,Full,MovingAverage_2
1981-03-01,126.5,Full,MovingAverage_2
1981-04-01,110.5,Full,MovingAverage_2
1981-05-01,99.5,Full,MovingAverage_2
1981-06-01,114.5,Full,MovingAverage_2
1981-07-01,174.5,Full,MovingAverage_2
1981-08-01,218.0,Full,MovingAverage_2
1981-09-01,166.0,Full,MovingAverage_2
1981-10-01,129.5,Full,MovingAverage_2
1981-11-01,147.5,Full,MovingAverage_2
1981-12-01,190.0,Full,MovingAverage_2
1982-01-01,157.5,Full,MovingAverage_2
1982-02-01,83.0,Full,MovingAverage_2
1982-03-01,79.5,Full,MovingAverage_2
1982-04-01,89.5,Full,MovingAverage_2
1982-05-01,112.0,Full,MovingAverage_2
1982-06-01,124.0,Full,MovingAverage_2
1982-07-01,119.0,Full,MovingAverage_2
1982-08-01,117.0,Full,MovingAverage_2
1982-09-01,111.5,Full,MovingAverage_2
1982-10-01,109.0,Full,MovingAverage_2
1982-11-01,123.0,Full,MovingAverage_2
1982-12-01,151.5,Full,MovingAverage_2
1983-01-01,122.0,Full,MovingAverage_2
1983-02-01,91.5,Full,MovingAverage_2
1983-03-01,111.5,Full,MovingAverage_2
1983-04-01,100.0,Full,MovingAverage_2
1983-05-01,93.0,Full,MovingAverage_2
1983-06-01,104.5,Full,MovingAverage_2
1983-07-01,108.5,Full,MovingAverage_2
1983-08-01,116.5,Full,MovingAverage_2
1983-09-01,114.5,Full,MovingAverage_2
1983-10-01,100.0,Full,MovingAverage_2
1983-11-01,115.0,Full,MovingAverage_2
1983-12-01,149.5,Full,MovingAverage_2
1984-01-01,126.0,Full,MovingAverage_2
1984-02-01,86.5,Full,MovingAverage_2
1984-03-01,98.5,Full,MovingAverage_2
1984-04-01,99.5,Full,MovingAverage_2
1984-05-01,89.0,Full,MovingAverage_2
1984-06-01,89.0,Full,MovingAverage_2
1984-07-01,87.0,Full,MovingAverage_2
1984-08-01,114.5,Full,MovingAverage_2
