YearMonth,Value,Type,Model
1980-01-01,,Full,MovingAverage_4
1980-02-01,,Full,MovingAverage_4
1980-03-01,,Full,MovingAverage_4
1980-04-01,1823.25,Full,MovingAverage_4
1980-05-01,1769.5,Full,MovingAverage_4
1980-06-01,1716.0,Full,MovingAverage_4
1980-07-01,1631.5,Full,MovingAverage_4
1980-08-01,1816.75,Full,MovingAverage_4
1980-09-01,1945.0,Full,MovingAverage_4
1980-10-01,2249.75,Full,MovingAverage_4
1980-11-01,2780.0,Full,MovingAverage_4
1980-12-01,3461.5,Full,MovingAverage_4
1981-01-01,3348.0,Full,MovingAverage_4
1981-02-01,3079.75,Full,MovingAverage_4
1981-03-01,2466.25,Full,MovingAverage_4
1981-04-01,1665.5,Full,MovingAverage_4
1981-05-01,1575.5,Full,MovingAverage_4
1981-06-01,1564.75,Full,MovingAverage_4
1981-07-01,1601.75,Full,MovingAverage_4
1981-08-01,1725.75,Full,MovingAverage_4
1981-09-01,1928.5,Full,MovingAverage_4
1981-10-01,2126.75,Full,MovingAverage_4
1981-11-01,2645.75,Full,MovingAverage_4
1981-12-01,3165.5,Full,MovingAverage_4
1982-01-01,3047.75,Full,MovingAverage_4
1982-02-01,2811.75,Full,MovingAverage_4
1982-03-01,2227.0,Full,MovingAverage_4
1982-04-01,1536.75,Full,MovingAverage_4
1982-05-01,1543.5,Full,MovingAverage_4
1982-06-01,1573.5,Full,MovingAverage_4
1982-07-01,1682.5,Full,MovingAverage_4
1982-08-01,1709.25,Full,MovingAverage_4
1982-09-01,1751.5,Full,MovingAverage_4
1982-10-01,2017.75,Full,MovingAverage_4
1982-11-01,2427.5,Full,MovingAverage_4
1982-12-01,3084.25,Full,MovingAverage_4
1983-01-01,3060.0,Full,MovingAverage_4
1983-02-01,2841.0,Full,MovingAverage_4
1983-03-01,2450.25,Full,MovingAverage_4
1983-04-01,1663.0,Full,MovingAverage_4
1983-05-01,1590.75,Full,MovingAverage_4
1983-06-01,1492.5,Full,MovingAverage_4
1983-07-01,1385.0,Full,MovingAverage_4
1983-08-01,1615.75,Full,MovingAverage_4
1983-09-01,1833.5,Full,MovingAverage_4
1983-10-01,2150.0,Full,MovingAverage_4
1983-11-01,2610.0,Full,MovingAverage_4
1983-12-01,3266.25,Full,MovingAverage_4
1984-01-01,3120.75,Full,MovingAverage_4
1984-02-01,2851.75,Full,MovingAverage_4
1984-03-01,2507.0,Full,MovingAverage_4
1984-04-01,1723.5,Full,MovingAverage_4
1984-05-01,1713.0,Full,MovingAverage_4
1984-06-01,1705.25,Full,MovingAverage_4
1984-07-01,1589.25,Full,MovingAverage_4
1984-08-01,1931.75,Full,MovingAverage_4
1984-09-01,1979.75,Full,MovingAverage_4
1984-10-01,2254.75,Full,MovingAverage_4
1984-11-01,2923.75,Full,MovingAverage_4
1984-12-01,3452.5,Full,MovingAverage_4
1985-01-01,3455.5,Full,MovingAverage_4
1985-02-01,3250.0,Full,MovingAverage_4
1985-03-01,2643.25,Full,MovingAverage_4
1985-04-01,1722.0,Full,MovingAverage_4
1985-05-01,1753.25,Full,MovingAverage_4
1985-06-01,1677.5,Full,MovingAverage_4
1985-07-01,1627.25,Full,MovingAverage_4
1985-08-01,1858.0,Full,MovingAverage_4
1985-09-01,1826.75,Full,MovingAverage_4
1985-10-01,2413.75,Full,MovingAverage_4
1985-11-01,3099.5,Full,MovingAverage_4
1985-12-01,3830.0,Full,MovingAverage_4
1986-01-01,3788.75,Full,MovingAverage_4
1986-02-01,3237.75,Full,MovingAverage_4
1986-03-01,2535.0,Full,MovingAverage_4
1986-04-01,1577.75,Full,MovingAverage_4
1986-05-01,1617.5,Full,MovingAverage_4
1986-06-01,1587.5,Full,MovingAverage_4
1986-07-01,1839.25,Full,MovingAverage_4
1986-08-01,2267.5,Full,MovingAverage_4
1986-09-01,2216.75,Full,MovingAverage_4
1986-10-01,2453.25,Full,MovingAverage_4
1986-11-01,2804.0,Full,MovingAverage_4
1986-12-01,3447.25,Full,MovingAverage_4
1987-01-01,3404.0,Full,MovingAverage_4
1987-02-01,3177.25,Full,MovingAverage_4
1987-03-01,2567.5,Full,MovingAverage_4
1987-04-01,1578.5,Full,MovingAverage_4
1987-05-01,1610.75,Full,MovingAverage_4
1987-06-01,1562.75,Full,MovingAverage_4
1987-07-01,1637.5,Full,MovingAverage_4
1987-08-01,1636.25,Full,MovingAverage_4
1987-09-01,1916.25,Full,MovingAverage_4
1987-10-01,2382.25,Full,MovingAverage_4
1987-11-01,3021.75,Full,MovingAverage_4
1987-12-01,4349.75,Full,MovingAverage_4
1988-01-01,4153.5,Full,MovingAverage_4
1988-02-01,3819.75,Full,MovingAverage_4
1988-03-01,3245.5,Full,MovingAverage_4
1988-04-01,2019.0,Full,MovingAverage_4
1988-05-01,1987.75,Full,MovingAverage_4
1988-06-01,1958.25,Full,MovingAverage_4
1988-07-01,1988.75,Full,MovingAverage_4
1988-08-01,1816.0,Full,MovingAverage_4
1988-09-01,1989.25,Full,MovingAverage_4
1988-10-01,2509.0,Full,MovingAverage_4
1988-11-01,3198.5,Full,MovingAverage_4
1988-12-01,4476.5,Full,MovingAverage_4
1989-01-01,4310.5,Full,MovingAverage_4
1989-02-01,3724.0,Full,MovingAverage_4
1989-03-01,2972.5,Full,MovingAverage_4
1989-04-01,1695.75,Full,MovingAverage_4
1989-05-01,1670.0,Full,MovingAverage_4
1989-06-01,1673.0,Full,MovingAverage_4
1989-07-01,1670.25,Full,MovingAverage_4
1989-08-01,1749.75,Full,MovingAverage_4
1989-09-01,1988.25,Full,MovingAverage_4
1989-10-01,2598.0,Full,MovingAverage_4
1989-11-01,3233.75,Full,MovingAverage_4
1989-12-01,4415.25,Full,MovingAverage_4
1990-01-01,4193.25,Full,MovingAverage_4
1990-02-01,3562.25,Full,MovingAverage_4
1990-03-01,2898.5,Full,MovingAverage_4
1990-04-01,1632.0,Full,MovingAverage_4
1990-05-01,1605.75,Full,MovingAverage_4
1990-06-01,1639.75,Full,MovingAverage_4
1990-07-01,1649.75,Full,MovingAverage_4
1990-08-01,1644.0,Full,MovingAverage_4
1990-09-01,1846.25,Full,MovingAverage_4
1990-10-01,2261.0,Full,MovingAverage_4
1990-11-01,2857.75,Full,MovingAverage_4
1990-12-01,3968.25,Full,MovingAverage_4
1991-01-01,3837.75,Full,MovingAverage_4
1991-02-01,3571.0,Full,MovingAverage_4
1991-03-01,2968.0,Full,MovingAverage_4
1991-04-01,1776.0,Full,MovingAverage_4
