YearMonth,Value,Type,Model
1980-01-01,1686,Train,Actual
1980-02-01,1591,Train,Actual
1980-03-01,2304,Train,Actual
1980-04-01,1712,Train,Actual
1980-05-01,1471,Train,Actual
1980-06-01,1377,Train,Actual
1980-07-01,1966,Train,Actual
1980-08-01,2453,Train,Actual
1980-09-01,1984,Train,Actual
1980-10-01,2596,Train,Actual
1980-11-01,4087,Train,Actual
1980-12-01,5179,Train,Actual
1981-01-01,1530,Train,Actual
1981-02-01,1523,Train,Actual
1981-03-01,1633,Train,Actual
1981-04-01,1976,Train,Actual
1981-05-01,1170,Train,Actual
1981-06-01,1480,Train,Actual
1981-07-01,1781,Train,Actual
1981-08-01,2472,Train,Actual
1981-09-01,1981,Train,Actual
1981-10-01,2273,Train,Actual
1981-11-01,3857,Train,Actual
1981-12-01,4551,Train,Actual
1982-01-01,1510,Train,Actual
1982-02-01,1329,Train,Actual
1982-03-01,1518,Train,Actual
1982-04-01,1790,Train,Actual
1982-05-01,1537,Train,Actual
1982-06-01,1449,Train,Actual
1982-07-01,1954,Train,Actual
1982-08-01,1897,Train,Actual
1982-09-01,1706,Train,Actual
1982-10-01,2514,Train,Actual
1982-11-01,3593,Train,Actual
1982-12-01,4524,Train,Actual
1983-01-01,1609,Train,Actual
1983-02-01,1638,Train,Actual
1983-03-01,2030,Train,Actual
1983-04-01,1375,Train,Actual
1983-05-01,1320,Train,Actual
1983-06-01,1245,Train,Actual
1983-07-01,1600,Train,Actual
1983-08-01,2298,Train,Actual
1983-09-01,2191,Train,Actual
1983-10-01,2511,Train,Actual
1983-11-01,3440,Train,Actual
1983-12-01,4923,Train,Actual
1984-01-01,1609,Train,Actual
1984-02-01,1435,Train,Actual
1984-03-01,2061,Train,Actual
1984-04-01,1789,Train,Actual
1984-05-01,1567,Train,Actual
1984-06-01,1404,Train,Actual
1984-07-01,1597,Train,Actual
1984-08-01,3159,Train,Actual
1984-09-01,1759,Train,Actual
1984-10-01,2504,Train,Actual
1984-11-01,4273,Train,Actual
1984-12-01,5274,Train,Actual
1985-01-01,1771,Train,Actual
1985-02-01,1682,Train,Actual
1985-03-01,1846,Train,Actual
1985-04-01,1589,Train,Actual
1985-05-01,1896,Train,Actual
1985-06-01,1379,Train,Actual
1985-07-01,1645,Train,Actual
1985-08-01,2512,Train,Actual
1985-09-01,1771,Train,Actual
1985-10-01,3727,Train,Actual
1985-11-01,4388,Train,Actual
1985-12-01,5434,Train,Actual
1986-01-01,1606,Train,Actual
1986-02-01,1523,Train,Actual
1986-03-01,1577,Train,Actual
1986-04-01,1605,Train,Actual
1986-05-01,1765,Train,Actual
1986-06-01,1403,Train,Actual
1986-07-01,2584,Train,Actual
1986-08-01,3318,Train,Actual
1986-09-01,1562,Train,Actual
1986-10-01,2349,Train,Actual
1986-11-01,3987,Train,Actual
1986-12-01,5891,Train,Actual
1987-01-01,1389,Train,Actual
1987-02-01,1442,Train,Actual
1987-03-01,1548,Train,Actual
1987-04-01,1935,Train,Actual
1987-05-01,1518,Train,Actual
1987-06-01,1250,Train,Actual
1987-07-01,1847,Train,Actual
