YearMonth,Value,Type,Model
1980-01-01,1686.0,Train,Actual
1980-02-01,1591.0,Train,Actual
1980-03-01,2304.0,Train,Actual
1980-04-01,1712.0,Train,Actual
1980-05-01,1471.0,Train,Actual
1980-06-01,1377.0,Train,Actual
1980-07-01,1966.0,Train,Actual
1980-08-01,2453.0,Train,Actual
1980-09-01,1984.0,Train,Actual
1980-10-01,2596.0,Train,Actual
1980-11-01,4087.0,Train,Actual
1980-12-01,5179.0,Train,Actual
1981-01-01,1530.0,Train,Actual
1981-02-01,1523.0,Train,Actual
1981-03-01,1633.0,Train,Actual
1981-04-01,1976.0,Train,Actual
1981-05-01,1170.0,Train,Actual
1981-06-01,1480.0,Train,Actual
1981-07-01,1781.0,Train,Actual
1981-08-01,2472.0,Train,Actual
1981-09-01,1981.0,Train,Actual
1981-10-01,2273.0,Train,Actual
1981-11-01,3857.0,Train,Actual
1981-12-01,4551.0,Train,Actual
1982-01-01,1510.0,Train,Actual
1982-02-01,1329.0,Train,Actual
1982-03-01,1518.0,Train,Actual
1982-04-01,1790.0,Train,Actual
1982-05-01,1537.0,Train,Actual
1982-06-01,1449.0,Train,Actual
1982-07-01,1954.0,Train,Actual
1982-08-01,1897.0,Train,Actual
1982-09-01,1706.0,Train,Actual
1982-10-01,2514.0,Train,Actual
1982-11-01,3593.0,Train,Actual
1982-12-01,4524.0,Train,Actual
1983-01-01,1609.0,Train,Actual
1983-02-01,1638.0,Train,Actual
1983-03-01,2030.0,Train,Actual
1983-04-01,1375.0,Train,Actual
1983-05-01,1320.0,Train,Actual
1983-06-01,1245.0,Train,Actual
1983-07-01,1600.0,Train,Actual
1983-08-01,2298.0,Train,Actual
1983-09-01,2191.0,Train,Actual
1983-10-01,2511.0,Train,Actual
1983-11-01,3440.0,Train,Actual
1983-12-01,4923.0,Train,Actual
1984-01-01,1609.0,Train,Actual
1984-02-01,1435.0,Train,Actual
1984-03-01,2061.0,Train,Actual
1984-04-01,1789.0,Train,Actual
1984-05-01,1567.0,Train,Actual
1984-06-01,1404.0,Train,Actual
1984-07-01,1597.0,Train,Actual
1984-08-01,3159.0,Train,Actual
1984-09-01,1759.0,Train,Actual
1984-10-01,2504.0,Train,Actual
1984-11-01,4273.0,Train,Actual
1984-12-01,5274.0,Train,Actual
1985-01-01,1771.0,Train,Actual
1985-02-01,1682.0,Train,Actual
